WORD TO SEARCH,LINKED LIST SET TIME,HASH TABLE SET TIME,BINARY TREE SET TIME
regulation,62400,700,700
condescendingly,19400,600,1000
behave,58600,900,600
read,69400,2300,400
unembarrassed,26200,700,900
ingenious,71100,1400,500
same,66500,1400,500
preside,71500,3400,500
abide,37500,1000,300
looks,58500,1100,500
palings,52000,1600,600
Collins,65200,1000,400
exact,64900,1100,600
follow,65300,1300,500
Vingt,66800,900,300
fare,20600,700,700
luncheon,33900,500,700
reconciliation,58100,900,600
What,70900,2400,300
begging,62400,2100,500
obliging,70100,1100,500
laying,65900,1600,500
proofread,3700,300,700
blessing,61000,1100,500
laughed,67200,1100,500
respect,74600,1200,300
posted,4700,200,800
usage,58900,1000,400
imitation,97800,1900,600
contradict,74800,800,400
complaining,32700,700,1000
imply,45100,1100,1000
angelic,55900,1000,300
tenant,70300,800,600
unreasonable,58100,1200,500
registered,5900,400,800
extraordinary,64800,1400,300
nicely,35700,600,800
farm,64100,1200,500
instruction,59400,2100,600
sameness,32600,1100,800
tender,59700,1000,700
complaint,44800,700,700
splendid,71500,3900,19600
messages,65500,1300,500
woe,33200,800,600
strangeness,54800,1300,700
hackneyed,55000,900,500
lobby,28800,600,1000
doings,60700,3000,500
sideboard,51200,700,900
demands,61500,900,400
derives,60400,1400,400
transcribe,3700,500,1000
trunk,35400,600,800
submit,28100,500,1100
presumed,9700,900,900
motive,63500,1100,500
dignified,48600,1200,800
falsely,29900,900,500
arrive,56100,1200,400
cucumber,36700,1200,800
propose,64600,4100,600
liveliest,63300,1400,500
unsocial,59500,1000,600
near,68100,1400,400
applying,47100,1200,800
aid,39700,1200,700
uppermost,25600,800,700
stays,65100,1600,800
habits,45500,1400,800
ridiculous,69500,1300,300
damaged,3500,300,400
smilingly,45900,1200,700
leaving,67400,1300,600
rattle,52300,2400,900
compromised,14200,400,700
degrees,30200,1600,700
annual,18000,500,500
uncivil,62000,1700,500
replying,70100,1400,600
confirmation,89800,1000,900
detaining,75200,1100,600
boy,64300,1500,600
verdure,42800,800,700
haunch,12500,300,700
synonymous,1600,300,800
complete,67900,1800,500
lively,72200,4000,500
looking,72700,1700,500
stately,63300,1600,600
protesting,64800,1900,500
sportive,6600,800,800
